rank,term,n_tokens,freq
1,"deep learning",2,3439
2,"two dimensional",2,3122
3,"large scale",2,2815
4,"first order",2,2643
5,"standard model",2,2149
6,"large number",2,1914
7,"many applications",2,1876
8,"proposed algorithm",2,1871
9,"machine learning",2,1736
10,"high performance",2,1614
11,"neural networks",2,1576
12,"quantum systems",2,1549
13,"new class",2,1490
14,"non linear",2,1452
15,"data set",2,1451
16,"magnetic field",2,1341
17,"real data",2,1271
18,"real time",2,1241
19,"ground state",2,1228
20,"numerical simulations",2,1169
21,"second order",2,1102
22,"dynamical systems",2,1089
23,"high energy",2,1075
24,"high dimensional",2,1027
25,"general framework",2,1022
26,"training data",2,982
27,"state space",2,976
28,"time dependent",2,974
29,"optimization problem",2,962
30,"two types",2,959
31,"experimental data",2,959
32,"non zero",2,932
33,"non local",2,922
34,"magnetic fields",2,920
35,"field theory",2,916
36,"art performance",2,904
37,"high resolution",2,894
38,"real world",2,882
39,"special case",2,871
40,"phase transition",2,846
41,"upper bound",2,828
42,"time series",2,789
43,"neural network",2,787
44,"low temperature",2,773
45,"lower bounds",2,769
46,"phase space",2,756
47,"statistical analysis",2,754
48,"computer vision",2,747
49,"electronic properties",2,734
50,"low level",2,732
51,"art methods",2,727
52,"two classes",2,714
53,"higher order",2,706
54,"parameter space",2,703
55,"strong coupling",2,680
56,"three dimensional",2,679
57,"non trivial",2,678
58,"potential applications",2,674
59,"theoretical models",2,673
60,"network architecture",2,673
61,"necessary conditions",2,667
62,"dark matter",2,659
63,"long time",2,656
64,"higher dimensional",2,637
65,"convolutional neural networks",3,622
66,"sufficient condition",2,620
67,"optical properties",2,617
68,"data driven",2,615
69,"open problem",2,614
70,"general relativity",2,611
71,"time evolution",2,606
72,"first principles",2,581
73,"energy density",2,577
74,"closed form",2,576
75,"distribution function",2,575
76,"computational complexity",2,575
77,"system size",2,575
78,"new physics",2,566
79,"high quality",2,561
80,"large class",2,559
81,"finite temperature",2,557
82,"least two",2,553
83,"machine learning algorithms",3,551
84,"physical systems",2,550
85,"electronic structure",2,545
86,"optimal solution",2,543
87,"low mass",2,543
88,"phys rev",2,541
89,"continuous time",2,540
90,"traditional methods",2,540
91,"spectral properties",2,538
92,"probability distribution",2,538
93,"convolutional neural network",3,538
94,"low energy",2,537
95,"bound states",2,526
96,"theoretical analysis",2,526
97,"boundary conditions",2,526
98,"mathematical model",2,522
99,"decision making",2,522
100,"long range",2,519
101,"minimum number",2,519
102,"leading order",2,513
103,"initial conditions",2,509
104,"analytical model",2,508
105,"scalar field",2,508
106,"dynamical system",2,504
107,"electric field",2,503
108,"finite dimensional",2,503
109,"finite fields",2,501
110,"steady state",2,496
111,"metric space",2,496
112,"deep neural networks",3,496
113,"learning algorithms",2,492
114,"fixed point",2,491
115,"model selection",2,491
116,"optimal control",2,489
117,"high level",2,488
118,"two step",2,484
119,"time domain",2,483
120,"physical properties",2,483
121,"multi task",2,483
122,"lower bound",2,480
123,"hilbert space",2,479
124,"star formation",2,479
125,"objective function",2,478
126,"high frequency",2,475
127,"many body",2,474
128,"representation theory",2,471
129,"quantum mechanics",2,468
130,"power spectrum",2,463
131,"time varying",2,460
132,"initial state",2,458
133,"theoretical framework",2,457
134,"order parameter",2,455
135,"detailed analysis",2,455
136,"social network",2,446
137,"fixed points",2,440
138,"initial data",2,438
139,"sufficient conditions",2,438
140,"exact solutions",2,435
141,"invariant under",2,433
142,"self consistent",2,433
143,"two component",2,433
144,"three dimensions",2,432
145,"control over",2,430
146,"next generation",2,429
147,"long term",2,427
148,"parameter values",2,427
149,"low power",2,426
150,"natural language",2,426
151,"large datasets",2,422
152,"polynomial time",2,421
153,"power law",2,419
154,"inverse problem",2,418
155,"classification accuracy",2,418
156,"magnetic properties",2,416
157,"communication systems",2,416
158,"dark energy",2,415
159,"trade off",2,413
160,"information theory",2,412
161,"arbitrary number",2,411
162,"information processing",2,409
163,"black hole",2,409
164,"random variables",2,409
165,"unified framework",2,408
166,"generative models",2,408
167,"spatial resolution",2,407
168,"data sets",2,407
169,"spatial distribution",2,405
170,"stability analysis",2,401
171,"small scale",2,401
172,"vertex set",2,399
173,"markov chain",2,398
174,"thin films",2,396
175,"vector space",2,396
176,"differential equation",2,395
177,"two body",2,395
178,"differential equations",2,394
179,"two stage",2,393
180,"case studies",2,392
181,"spectral analysis",2,392
182,"convergence rate",2,390
183,"proton collisions",2,386
184,"time scale",2,384
185,"low dimensional",2,384
186,"mean field",2,383
187,"computationally efficient",2,382
188,"statistical properties",2,381
189,"finite element",2,381
190,"broad range",2,379
191,"quantum gravity",2,379
192,"non equilibrium",2,379
193,"object detection",2,373
194,"optimization problems",2,373
195,"particle physics",2,370
196,"early universe",2,370
197,"dynamics simulations",2,370
198,"perturbation theory",2,369
199,"random matrix",2,368
200,"gaussian distribution",2,366
201,"monte carlo",2,365
202,"main sequence",2,363
203,"numerical simulation",2,362
204,"two dimensions",2,359
205,"bayesian inference",2,356
206,"topological phase",2,355
207,"cross section",2,354
208,"experimental measurements",2,354
209,"binary systems",2,352
210,"wireless networks",2,350
211,"stochastic processes",2,346
212,"single particle",2,345
213,"single layer",2,344
214,"critical point",2,343
215,"molecular dynamics",2,343
216,"infinite dimensional",2,342
217,"self similar",2,342
218,"finite size",2,342
219,"exact solution",2,342
220,"generative model",2,340
221,"symmetry breaking",2,338
222,"second part",2,337
223,"energy efficient",2,336
224,"angular momentum",2,335
225,"sample size",2,331
226,"cost function",2,331
227,"high accuracy",2,331
228,"visual features",2,330
229,"image processing",2,330
230,"asymptotic behavior",2,329
231,"well posedness",2,328
232,"worst case",2,328
233,"highly efficient",2,326
234,"random graph",2,324
235,"high probability",2,323
236,"large area",2,323
237,"asymptotic properties",2,323
238,"surface states",2,320
239,"light matter",2,319
240,"research area",2,319
241,"infinite number",2,319
242,"cosmological models",2,318
243,"positive integer",2,317
244,"two dimensional 2d",3,317
245,"value problem",2,317
246,"quantum information",2,315
247,"np hard",2,314
248,"large scale structure",3,314
249,"high dimensions",2,313
250,"ray emission",2,313
251,"field theories",2,313
252,"transport properties",2,313
253,"total number",2,313
254,"artificial intelligence",2,313
255,"wave functions",2,311
256,"task specific",2,311
257,"time step",2,310
258,"type ii",2,310
259,"discrete time",2,310
260,"convex functions",2,310
261,"superconducting state",2,309
262,"high speed",2,309
263,"two loop",2,308
264,"evolution equations",2,308
265,"three main",2,307
266,"mass function",2,306
267,"image classification",2,305
268,"coherent states",2,305
269,"embedding space",2,305
270,"band structure",2,303
271,"massive stars",2,303
272,"pre trained",2,303
273,"light curves",2,302
274,"final state",2,302
275,"current density",2,301
276,"energy distribution",2,301
277,"effective field",2,300
278,"short time",2,300
279,"art techniques",2,299
280,"test case",2,298
281,"correlation function",2,297
282,"non perturbative",2,297
283,"lattice qcd",2,296
284,"binary system",2,296
285,"main theorem",2,295
286,"finitely many",2,295
287,"simulated data",2,295
288,"time consuming",2,295
289,"computational cost",2,294
290,"wide field",2,294
291,"high temperatures",2,293
292,"during training",2,293
293,"multi scale",2,293
294,"energy spectrum",2,293
295,"boundary condition",2,293
296,"network architectures",2,290
297,"free energy",2,288
298,"non negative",2,287
299,"parameter estimation",2,287
300,"run time",2,286
301,"random walk",2,286
302,"black box",2,285
303,"image recognition",2,285
304,"long distance",2,285
305,"mixture model",2,285
306,"mass ratio",2,285
307,"excited state",2,284
308,"stellar masses",2,284
309,"observational data",2,284
310,"strongly coupled",2,281
311,"weak solution",2,281
312,"computation time",2,281
313,"mass range",2,281
314,"unique solution",2,280
315,"approximation algorithms",2,280
316,"data points",2,280
317,"improved performance",2,279
318,"loss function",2,279
319,"publicly available",2,278
320,"bounded domain",2,277
321,"direct detection",2,277
322,"two photon",2,277
323,"tree level",2,277
324,"galaxy evolution",2,277
325,"monte carlo simulations",3,277
326,"solid state",2,276
327,"gauge theory",2,275
328,"high pressure",2,275
329,"number density",2,275
330,"deep learning techniques",3,274
331,"small values",2,274
332,"solar system",2,274
333,"complex plane",2,273
334,"first principles calculations",3,272
335,"feature representation",2,272
336,"fundamental physics",2,270
337,"interaction strength",2,269
338,"convolutional neural networks cnns",4,269
339,"double well",2,268
340,"linear algebra",2,267
341,"bound state",2,267
342,"blow up",2,267
343,"cnn models",2,267
344,"weak solutions",2,267
345,"phase diagram",2,266
346,"approximation scheme",2,265
347,"growth rate",2,265
348,"ground states",2,264
349,"deep convolutional neural networks",4,264
350,"first principle",2,263
351,"finitely generated",2,263
352,"training set",2,263
353,"ray spectra",2,262
354,"near infrared",2,262
355,"multi level",2,262
356,"up observations",2,262
357,"initial condition",2,262
358,"quantum fluctuations",2,261
359,"question answering",2,261
360,"software development",2,260
361,"explicit form",2,260
362,"reinforcement learning",2,260
363,"structural properties",2,259
364,"quantum critical",2,259
365,"multi channel",2,258
366,"four dimensional",2,257
367,"basis functions",2,255
368,"critical points",2,253
369,"wave function",2,253
370,"free space",2,253
371,"cosmological constant",2,252
372,"domain specific",2,252
373,"room temperature",2,252
374,"supervised learning",2,252
375,"theoretical studies",2,252
376,"gauge field",2,251
377,"lattice models",2,251
378,"simple proof",2,250
379,"asymptotic analysis",2,250
380,"well suited",2,249
381,"semantic information",2,248
382,"chemical potential",2,247
383,"trained end",2,246
384,"range interactions",2,246
385,"probability distributions",2,246
386,"real part",2,246
387,"main features",2,246
388,"precision measurements",2,245
389,"vacuum energy",2,245
390,"bayesian approach",2,245
391,"open problems",2,245
392,"image segmentation",2,244
393,"quantum correlations",2,244
394,"image analysis",2,243
395,"prior information",2,243
396,"explicit formula",2,243
397,"building blocks",2,242
398,"form factors",2,242
399,"wave equation",2,242
400,"single mode",2,241
401,"time scales",2,241
402,"signal processing",2,241
403,"quantum channels",2,241
404,"high precision",2,241
405,"non relativistic",2,240
406,"network topology",2,240
407,"fourier transform",2,240
408,"mobile devices",2,240
409,"young stars",2,239
410,"black holes",2,239
411,"attention mechanism",2,239
412,"alpha beta",2,238
413,"encoder decoder",2,236
414,"online learning",2,236
415,"spectral resolution",2,236
416,"functional theory",2,235
417,"physical parameters",2,235
418,"algebraic structure",2,235
419,"big data",2,235
420,"transition temperature",2,234
421,"integrated luminosity",2,234
422,"quantum computing",2,234
423,"free parameters",2,234
424,"chiral symmetry",2,233
425,"model predicts",2,233
426,"wave propagation",2,232
427,"sensor data",2,232
428,"unknown parameters",2,232
429,"tensor product",2,232
430,"low complexity",2,231
431,"ground truth",2,231
432,"total mass",2,230
433,"mathematical framework",2,230
434,"temperature dependence",2,229
435,"spatio temporal",2,229
436,"noise ratio",2,229
437,"final states",2,229
438,"lie group",2,228
439,"structure factor",2,228
440,"long period",2,228
441,"quantitative analysis",2,228
442,"biological systems",2,228
443,"string theory",2,228
444,"sensitivity analysis",2,228
445,"maxwell equations",2,227
446,"machine learning techniques",3,227
447,"arbitrary dimension",2,226
448,"real numbers",2,226
449,"open question",2,226
450,"scale structure",2,225
451,"partition function",2,225
452,"long lived",2,224
453,"multi class",2,224
454,"fine tuning",2,224
455,"matrix elements",2,224
456,"running time",2,224
457,"non stationary",2,223
458,"fluid dynamics",2,223
459,"prime number",2,223
460,"euclidean space",2,223
461,"theoretical calculations",2,223
462,"high luminosity",2,222
463,"low frequency",2,222
464,"modules over",2,222
465,"low rank",2,222
466,"cosmological simulations",2,221
467,"cnn architecture",2,221
468,"linear stability",2,221
469,"non degenerate",2,220
470,"semantic segmentation",2,220
471,"moduli space",2,219
472,"component analysis",2,219
473,"upper limit",2,219
474,"recurrent neural networks",3,219
475,"correlation functions",2,218
476,"upper bounds",2,217
477,"random field",2,217
478,"minimization problem",2,217
479,"maximum value",2,216
480,"effective action",2,216
481,"research topic",2,215
482,"einstein equations",2,215
483,"equilibrium states",2,214
484,"performance computing",2,214
485,"transverse momentum",2,213
486,"planetary system",2,213
487,"multi user",2,213
488,"vector spaces",2,213
489,"radio frequency",2,213
490,"two qubit",2,213
491,"energy transfer",2,213
492,"star clusters",2,212
493,"strong dependence",2,212
494,"prediction accuracy",2,212
495,"information flow",2,212
496,"gravitational field",2,212
497,"topological properties",2,212
498,"generating function",2,211
499,"phase transitions",2,211
500,"autonomous driving",2,210
501,"linear response",2,210
502,"single image",2,210
503,"riemannian manifold",2,210
504,"edge states",2,209
505,"partial differential equations",3,209
506,"single photons",2,208
507,"schr odinger equation",3,208
508,"experimental observation",2,208
509,"non smooth",2,208
510,"frequency range",2,207
511,"multi component",2,207
512,"graph theory",2,207
513,"training process",2,207
514,"prediction tasks",2,206
515,"cauchy problem",2,206
516,"simplified model",2,206
517,"gravitational waves",2,206
