rank,term,n_tokens,freq
1,"two dimensional",2,1127
2,"field theory",2,1000
3,"magnetic field",2,782
4,"standard model",2,746
5,"simple model",2,731
6,"high resolution",2,637
7,"ground state",2,629
8,"experimental data",2,627
9,"low energy",2,587
10,"first order",2,573
11,"phase transition",2,489
12,"large scale",2,484
13,"second order",2,479
14,"new approach",2,479
15,"low temperature",2,444
16,"high energy",2,443
17,"quantum mechanics",2,390
18,"mean field",2,383
19,"power law",2,375
20,"numerical simulations",2,363
21,"phys rev",2,361
22,"three dimensional",2,360
23,"space time",2,355
24,"energy spectrum",2,350
25,"non linear",2,349
26,"finite dimensional",2,348
27,"large number",2,344
28,"effective potential",2,340
29,"time evolution",2,330
30,"phase space",2,330
31,"non local",2,327
32,"dark matter",2,315
33,"dynamical systems",2,309
34,"new physics",2,306
35,"time dependent",2,304
36,"boundary conditions",2,300
37,"cross section",2,296
38,"long range",2,295
39,"ray emission",2,288
40,"wave function",2,286
41,"cosmological constant",2,282
42,"leading order",2,282
43,"self consistent",2,276
44,"special case",2,274
45,"order parameter",2,273
46,"non trivial",2,269
47,"non zero",2,269
48,"low mass",2,268
49,"general relativity",2,263
50,"model independent",2,259
51,"perturbation theory",2,258
52,"spectral properties",2,257
53,"initial conditions",2,255
54,"critical temperature",2,253
55,"two types",2,253
56,"two components",2,248
57,"theoretical analysis",2,247
58,"strong coupling",2,244
59,"energy density",2,240
60,"exact solutions",2,239
61,"physical properties",2,237
62,"quantum information",2,231
63,"free energy",2,229
64,"large class",2,226
65,"two photon",2,225
66,"transition temperature",2,221
67,"galaxy clusters",2,221
68,"higher order",2,220
69,"new class",2,220
70,"statistical properties",2,213
71,"distribution function",2,213
72,"three dimensions",2,212
73,"initial state",2,211
74,"parameter space",2,209
75,"high temperature",2,208
76,"lower bound",2,207
77,"monte carlo simulations",3,207
78,"detailed analysis",2,205
79,"string theory",2,205
80,"angular momentum",2,204
81,"local density",2,202
82,"phase transitions",2,201
83,"real space",2,201
84,"data set",2,201
85,"effective mass",2,201
86,"two dimensions",2,200
87,"type ii",2,199
88,"black hole",2,198
89,"cosmological models",2,198
90,"gauge theory",2,198
91,"einstein equations",2,196
92,"symmetry breaking",2,195
93,"scalar field",2,194
94,"galaxy formation",2,193
95,"system size",2,191
96,"single particle",2,190
97,"correlation function",2,190
98,"magnetic properties",2,189
99,"magnetic fields",2,188
100,"two component",2,188
101,"two body",2,187
102,"time dependence",2,184
103,"black holes",2,183
104,"energy momentum",2,181
105,"near infrared",2,180
106,"final state",2,179
107,"exact solution",2,178
108,"new technique",2,177
109,"wave functions",2,177
110,"matrix elements",2,175
111,"classical limit",2,174
112,"electronic structure",2,173
113,"chandra observations",2,173
114,"particle physics",2,172
115,"higher dimensional",2,171
116,"quantum gravity",2,171
117,"power spectrum",2,171
