rank,term,n_tokens,freq
1,"field theory",2,880
2,"two dimensional",2,865
3,"magnetic field",2,864
4,"standard model",2,775
5,"first order",2,595
6,"ground state",2,567
7,"phase transition",2,544
8,"experimental data",2,507
9,"low energy",2,499
10,"large number",2,424
11,"high resolution",2,413
12,"gauge theory",2,400
13,"high energy",2,366
14,"new approach",2,365
15,"finite dimensional",2,357
16,"leading order",2,354
17,"numerical simulations",2,348
18,"time dependent",2,347
19,"space time",2,318
20,"power law",2,315
21,"low temperature",2,309
22,"phys rev",2,308
23,"ray emission",2,305
24,"cross section",2,303
25,"energy spectrum",2,295
26,"low density",2,288
27,"quantum mechanics",2,288
28,"boundary conditions",2,285
29,"dynamical systems",2,284
30,"cross sections",2,281
31,"power spectrum",2,275
32,"new physics",2,275
33,"order parameter",2,274
34,"non trivial",2,269
35,"large scale",2,268
36,"phase space",2,266
37,"non zero",2,260
38,"long range",2,259
39,"time evolution",2,257
40,"zero temperature",2,257
41,"effective action",2,251
42,"new class",2,248
43,"special case",2,244
44,"three dimensions",2,236
45,"mean field",2,236
46,"perturbation theory",2,234
47,"three dimensional",2,233
48,"critical point",2,233
49,"black holes",2,230
50,"model independent",2,227
51,"spectral properties",2,225
52,"second order",2,225
53,"quantum gravity",2,224
54,"free energy",2,223
55,"two body",2,223
56,"structure functions",2,221
57,"general relativity",2,219
58,"strong coupling",2,214
59,"physical properties",2,214
60,"renormalization group",2,213
61,"bound state",2,207
62,"non linear",2,207
63,"final state",2,207
64,"higher order",2,204
65,"exact solutions",2,203
66,"two loop",2,202
67,"two types",2,201
68,"correlation functions",2,200
69,"structure function",2,198
70,"high temperature",2,198
71,"long time",2,196
72,"parameter space",2,195
73,"cosmological constant",2,192
74,"single particle",2,191
75,"wave function",2,190
76,"detailed analysis",2,188
77,"angular momentum",2,186
78,"dark matter",2,186
79,"temperature dependence",2,185
80,"lattice qcd",2,184
81,"string theory",2,183
82,"two component",2,182
83,"moduli space",2,179
84,"two dimensions",2,177
85,"data set",2,177
86,"non local",2,176
87,"wave functions",2,175
88,"theoretical calculations",2,175
89,"self consistent",2,175
90,"scalar field",2,174
91,"effective potential",2,174
92,"critical temperature",2,173
93,"magnetic fields",2,173
94,"finite number",2,172
95,"system size",2,171
96,"distribution function",2,167
97,"four dimensions",2,165
98,"matrix elements",2,164
99,"two components",2,164
100,"energy density",2,163
101,"non equilibrium",2,161
102,"quantum information",2,161
103,"electromagnetic field",2,159
104,"correlation function",2,159
105,"short range",2,159
106,"sigma model",2,158
107,"mass function",2,157
108,"monte carlo simulations",3,157
109,"local group",2,156
110,"fixed point",2,156
111,"self energy",2,156
112,"phase transitions",2,156
113,"pure states",2,155
114,"cosmological models",2,155
115,"symmetry breaking",2,154
116,"high frequency",2,154
117,"available data",2,154
118,"small values",2,152
119,"total energy",2,151
120,"monte carlo",2,151
121,"neutron stars",2,151
122,"low mass",2,151
123,"black hole",2,151
124,"form factors",2,149
125,"classical limit",2,149
126,"einstein equations",2,149
127,"mass ratio",2,149
128,"infinite dimensional",2,148
129,"invariant under",2,148
130,"vacuum energy",2,147
131,"light curves",2,146
132,"finite temperature",2,146
133,"low temperatures",2,144
134,"effective mass",2,144
135,"radio galaxies",2,144
136,"self similar",2,142
137,"large class",2,141
138,"two photon",2,141
139,"probability distribution",2,139
140,"arbitrary number",2,138
141,"early universe",2,138
142,"statistical properties",2,137
143,"galaxy clusters",2,137
144,"non compact",2,136
145,"external field",2,136
146,"exact solution",2,136
147,"hilbert space",2,134
148,"quantum mechanical",2,134
149,"four dimensional",2,133
150,"complete set",2,132
151,"coherent states",2,131
152,"theoretical analysis",2,131
153,"theoretical predictions",2,131
154,"real space",2,130
155,"optical spectra",2,130
156,"particle physics",2,129
157,"point like",2,129
158,"band structure",2,128
159,"non relativistic",2,127
160,"specific heat",2,127
161,"spectral energy",2,127
162,"matter fields",2,127
163,"numerical calculations",2,127
164,"structure formation",2,127
165,"high temperatures",2,126
166,"field theories",2,125
167,"vector fields",2,123
168,"superconducting state",2,123
169,"mean field theory",3,123
170,"lie algebra",2,122
171,"high signal",2,122
172,"coupling constant",2,122
173,"gauge theories",2,122
174,"galaxy formation",2,122
175,"massive stars",2,122
176,"chiral symmetry",2,121
177,"quantum dot",2,121
178,"optical spectroscopy",2,121
